,hippieName
P3IP1_HUMAN,1
LIMK2_HUMAN,1
KPB2_HUMAN,1
CACP_HUMAN,1
BIEA_HUMAN,1
CNO_HUMAN,1
RB6I2_HUMAN,1
O14CZ_HUMAN,1
P3H2_HUMAN,1
FGOP2_HUMAN,1
ENPLL_HUMAN,1
GEMI5_HUMAN,1
NUP62_HUMAN,1
SVOPL_HUMAN,1
CASPE_HUMAN,1
ATP5J_HUMAN,1
S2542_HUMAN,1
TM232_HUMAN,1
GEM_HUMAN,1
RRN3_HUMAN,1
LOXL1_HUMAN,1
TRI15_HUMAN,1
Z385B_HUMAN,1
SREK1_HUMAN,1
WDR67_HUMAN,1
SWAP1_HUMAN,1
PAPP2_HUMAN,1
IF1AX_HUMAN,1
CNPY4_HUMAN,1
H2B1H_HUMAN,1
NFAC4_HUMAN,1
M3K9_HUMAN,1
PKHM2_HUMAN,1
MP2K7_HUMAN,1
PSB6_HUMAN,1
PLST_HUMAN,1
ERCC2_HUMAN,1
FKBP3_HUMAN,1
NKX31_HUMAN,1
PDZD4_HUMAN,1
ASPM_HUMAN,1
NAA30_HUMAN,1
RAP2B_HUMAN,1
S26A8_HUMAN,1
CHRD1_HUMAN,1
KRA33_HUMAN,1
STAT6_HUMAN,1
APOC4_HUMAN,1
G6B_HUMAN,1
GP179_HUMAN,1
ZN813_HUMAN,1
PNCB_HUMAN,1
CSF1R_HUMAN,1
RAB7B_HUMAN,1
OLM2B_HUMAN,1
RNF37_HUMAN,1
F264_HUMAN,1
NUMA1_HUMAN,1
MYO1E_HUMAN,1
PMVK_HUMAN,1
RAG2_HUMAN,1
S22AI_HUMAN,1
PSD13_HUMAN,1
COX7C_HUMAN,1
FBP1L_HUMAN,1
EDEM1_HUMAN,1
COX6C_HUMAN,1
DHRS2_HUMAN,1
CE060_HUMAN,1
PDLI3_HUMAN,1
OBSCN_HUMAN,1
CXB6_HUMAN,1
IRAK1_HUMAN,1
ZSWM3_HUMAN,1
PTPRS_HUMAN,1
KPCD2_HUMAN,1
PRDM4_HUMAN,1
SELV_HUMAN,1
PTPRT_HUMAN,1
CUL3_HUMAN,1
KCNH5_HUMAN,1
FBW10_HUMAN,1
PLCE1_HUMAN,1
CO4A_HUMAN,1
NP1L2_HUMAN,1
POP7_HUMAN,1
A16L2_HUMAN,1
NMT2_HUMAN,1
ST1A3_HUMAN,1
PLS4_HUMAN,1
IFNW1_HUMAN,1
SPTN2_HUMAN,1
ZN785_HUMAN,1
ACOX3_HUMAN,1
AGK_HUMAN,1
VSIG1_HUMAN,1
DUOX1_HUMAN,1
SYT2_HUMAN,1
FHL5_HUMAN,1
OR4N5_HUMAN,1
NDKB_HUMAN,1
LYPD4_HUMAN,1
F16B1_HUMAN,1
TTC16_HUMAN,1
SOX8_HUMAN,1
COBA2_HUMAN,1
SAP3_HUMAN,1
BIRC8_HUMAN,1
PTPRM_HUMAN,1
DCTP1_HUMAN,1
RBM18_HUMAN,1
MTUS2_HUMAN,1
DMBX1_HUMAN,1
NEDD8_HUMAN,1
APBA3_HUMAN,1
RAB10_HUMAN,1
STRAP_HUMAN,1
NELFE_HUMAN,1
TXLNG_HUMAN,1
Z512B_HUMAN,1
E2F4_HUMAN,1
GNAS2_HUMAN,1
SPTB2_HUMAN,1
ZN865_HUMAN,1
ALKB5_HUMAN,1
ZN878_HUMAN,1
CRGA_HUMAN,1
DOPD_HUMAN,1
KCC2D_HUMAN,1
RBM6_HUMAN,1
CL029_HUMAN,1
EGLN2_HUMAN,1
PRRT2_HUMAN,1
GOG6A_HUMAN,1
R9BP_HUMAN,1
VPS35_HUMAN,1
RUSD3_HUMAN,1
SIRPG_HUMAN,1
SPAT5_HUMAN,1
PRCA1_HUMAN,1
PTX3_HUMAN,1
DPH1_HUMAN,1
BMPER_HUMAN,1
CAMKV_HUMAN,1
VGLU1_HUMAN,1
DHX16_HUMAN,1
SOX30_HUMAN,1
PDE4A_HUMAN,1
ARGI1_HUMAN,1
CD48_HUMAN,1
PLHD1_HUMAN,1
PAQRB_HUMAN,1
CD037_HUMAN,1
P66B_HUMAN,1
